"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle"
1400,641343,"Bauers, Jake",2681,52.2,0.171,0.138,0.235,0.309,0.251,0.278,0.189,51,298,88.4,21,2258,88.9,89.15,203,642,758,0.29999999999999716,6.43,117,146,118,151,295,322,298,"17.9","-17.9","71.8","7.4",333,181,32,8,0,11,119,35.7,29,8.7,2.39097,0.5544,0.35828,-0.28132,"91.7",167,43.646408839779006,9.94475138121547,5.405405405405405,5.74,-1.45,-0.17,2.34,0.252,18,"-1.278071429",0.27,0.352,"1.278071429",-0.018,-0.018000000000000016,-0.043,-0.027,31.6,"38.3"
1304,542583,"Aguilar, Jesús",2526,51.6,0.254,0.168,0.298,0.422,0.308,0.301,0.246,77,303,87.5,16.2,2240,88.9,88.91,158,623,681,0,6.35,108,152,122,146,306,324,292,"-0.7","0.7",,,327,230,50,15,0,12,76,23.2,14,4.3,2.30927,0.62611,0.31268,-0.01063,"91.4",161,36.08695652173913,8.26086956521739,5.81039755351682,5.83,-0.67,0.16,2.31,0.291,19,"0.054371166",0.286,0.403,"-0.054371166",0.008,0.0050000000000000044,0.019,0.007,25.4,"39.2"
1285,656308,"Chavis, Michael",1899,67.7,0.222,0.172,0.282,0.393,0.282,0.26,0.214,75,338,85.6,12.1,2262,88.7,88.88,232,746,539,0.20000000000000284,6.42,106,151,119,146,306,319,291,"11.1","-11.1",,,355,230,47,12,2,14,109,30.7,14,3.9,2.34273,0.60026,0.28925,0.02359,"91.4",149,37.391304347826086,8.695652173913043,5.633802816901409,5.77,-0.17,0.18,2.32,0.256,20,"-0.864980545",0.249,0.342,"0.864980545",0.008,0.007000000000000006,0.051,0.022,31.1,"38.2"
1278,457759,"Turner, Justin",7134,17.9,0.29,0.174,0.315,0.464,0.358,0.367,0.283,80,276,89.7,17.9,2266,90.1,90.34,79,582,696,0.20000000000000284,6.49,108,151,121,147,295,322,291,"-10.5","10.5","63.2","6.2",312,232,52,18,0,10,47,15.1,24,7.7,2.08518,0.76903,0.37499,-0.03736,"91.2",184,43.53448275862069,8.189655172413794,6.089743589743589,5.72,-0.25,0.31,2.41,0.362,19,"0.821126761",0.358,0.494,"-0.821126761",0.007,0.0040000000000000036,-0.03,-0.009,13.6,"39.9"
1245,664761,"Bohm, Alec",6675,18.7,0.298,0.197,0.317,0.495,0.364,0.343,0.282,92,309,89.4,12.1,2217,89.2,89.3,106,620,624,0.09999999999999432,6.37,109,151,123,148,303,322,287,"-19.5","19.5","71.5","7.5",341,260,59,19,0,14,52,15.2,25,7.3,2.27895,0.651,0.44263,-0.04054,"91.7",160,43.07692307692308,6.538461538461539,4.9853372434017595,5.78,-0.27,0.09,2.35,0.355,17,"1.562248996",0.342,0.447,"-1.562248996",0.016,0.012999999999999956,0.048,0.021,17.1,"36.2"
1245,666135,"Kirilloff, Alex",2533,49.2,0.277,0.169,0.343,0.446,0.336,0.331,0.265,82,296,89.4,13.4,2249,89,89.26,166,620,625,0.29999999999999716,6.42,114,148,122,151,294,324,300,"-5","5","71.9","7.8",331,220,54,16,2,10,82,24.8,22,6.6,2.34769,0.57089,0.27707,-0.21924,"91.6",166,41.36363636363637,7.727272727272727,5.13595166163142,5.87,-1.29,-0.16,2.3,0.335,17,"0.401285141",0.327,0.438,"-0.401285141",0.012,0.008000000000000007,0.008,0.005,26.8,"40.2"
1220,669304,"Miranda, Jose",3897,31.3,0.267,0.132,0.317,0.399,0.313,0.306,0.252,83,311,88.9,12.2,2262,88.2,88.32,165,647,573,0.09999999999999432,6.32,106,152,120,146,302,322,290,"-2.9","2.9","68.5","7.5",334,247,56,20,0,7,65,19.5,18,5.4,2.3552,0.62517,0.23543,-0.01564,"91.9",148,42.51012145748988,6.0728744939271255,4.491017964071856,5.82,-0.79,0.16,2.22,0.314,15,"0.23442623",0.301,0.397,"-0.23442623",0.015,0.013000000000000012,0.002,0.007,25.5,"39.6"
1175,641820,"Mancini, Trey",3418,34.4,0.283,0.163,0.356,0.446,0.346,0.326,0.256,78,276,91.1,10.4,2245,88.7,88.86,169,565,610,0.20000000000000284,6.38,107,151,121,147,303,324,291,"-8","8",,,308,203,51,18,0,9,75,24.4,26,8.4,2.3265,0.61526,0.3623,-0.00263,"92.4",149,43.34975369458128,6.896551724137931,4.545454545454546,5.93,-0.29,0.14,2.29,0.349,14,"0.682808511",0.326,0.416,"-0.682808511",0.027,0.022999999999999965,0.03,0.02,29.9,"40.3"
1104,657757,"Sheets, Gavin",5207,21.2,0.254,0.152,0.297,0.406,0.306,0.309,0.254,62,244,88.4,12.9,2259,88.5,88.82,123,546,558,0.29999999999999716,6.46,118,149,127,152,292,324,301,"-6.5","6.5","70.3","7.4",265,192,40,14,1,7,55,20.8,17,6.4,2.4694,0.50094,0.26216,-0.21034,"91.3",160,36.45833333333333,7.8125,5.660377358490567,5.79,-1.1,-0.21,2.33,0.302,15,"0.587318841",0.304,0.407,"-0.587318841",0,-0.0020000000000000018,-0.001,-0.003,22.5,"38.6"
1072,592273,"Drury, Brandon",5602,19.1,0.265,0.257,0.277,0.522,0.357,0.339,0.258,71,268,89,11.7,2283,89.2,89.29,139,535,537,0.09999999999999432,6.42,107,151,121,146,304,324,294,"-6.2","6.2","69.9","7.3",292,209,38,15,0,18,61,20.9,16,5.5,2.27162,0.64633,0.28818,0.01216,"92.5",152,42.58373205741627,10.526315789473683,7.534246575342466,5.76,-0.56,0.13,2.33,0.318,22,"0.577798507",0.315,0.463,"-0.577798507",0.007,0.0030000000000000027,0.059,0.018,26,"38.6"
